task1,task2,task3,task4,task5,task6,task7,task8,task9,task10,task11,task12,task13,task14,task15,task16,task17,task18,task19,task20,task21,task22,task23,task24,task25,task26,task27,task28,task29,task30,task31,task32,task33,task34,task35,task36,task37,task38,task39,task40,task41,task42,task43,task44,task45,task46,task47,task48,task49,task50,task51,task52,task53,task54,task55,task56,task57,task58,task59,task60,task61,task62,task63,task64,task65,task66,task67,task68,task69,task70,task71,task72,task73,task74,task75,task76,task77,task78,task79,task80,task81,task82,task83,task84,task85,task86,task87,task88,task89,task90,task91,task92,task93,task94,task95,task96,task97,task98,task99,task100,task101,task102,task103,task104,task105,task106,task107,task108,task109,task110,task111,task112,task113,task114,task115,task116,task117,task118,task119,task120,task121,task122,task123,task124,task125,task126,task127,task128,task129,task130,task131,task132,task133,task134,task135,task136,task137,task138,task139,task140,task141,task142,task143,task144,task145,task146,task147,task148,task149,task150,task151,task152,task153,task154,task155,task156,task157,task158
0,-4.54747350886464E-13,1440,0,1440,-1.70530256582424E-13,-1.70530256582424E-13,1440,2.8421709430404E-13,1440,0,1440,-3.97903932025656E-13,0,0,0,-1.70530256582424E-13,0,0,0,-4.54747350886464E-13,2.27373675443232E-13,-3.97903932025656E-13,-2.27373675443232E-13,0,2.8421709430404E-13,0,0,1440,0,1440,0,-2.27373675443232E-13,1440,-5.6843418860808E-14,1440,0,1440,5.6843418860808E-14,1440,0,1440,0,1440,9.09494701772928E-13,-1.13686837721616E-13,2.27373675443232E-13,0,0,1.13686837721616E-13,0,1.50489307625088E-13,2.27373675443232E-13,4.54747350886464E-13,-4.54747350886464E-13,1440,-1.13686837721616E-13,1440,0,1440,-3.41060513164848E-13,0,1440,1440,-2.27373675443232E-13,-9.09494701772928E-13,-4.54747350886464E-13,0,0,-7.68843678181442E-14,-4.54747350886464E-13,-3.84421839090721E-14,0,0,1.13686837721616E-13,4.54747350886464E-13,0,4.54747350886464E-13,0,0,-4.54747350886464E-13,1440,-4.54747350886464E-13,1440,0,1440,-4.54747350886464E-13,1440,0,1440,0,1440,0,0,1440,-3.84421839090721E-14,1440,1440,1440,1440,1440,0,0,0,0,2.27373675443232E-13,-9.09494701772928E-13,-1.13686837721616E-13,0,0,6.25277607468888E-13,0,-1.13686837721616E-13,-6.25277607468888E-13,0,1440,-5.6843418860808E-14,1440,1.13686837721616E-13,-1.36424205265939E-12,-4.54747350886464E-13,0,5.6843418860808E-14,-5.6843418860808E-14,0,-3.41060513164848E-13,-4.54747350886464E-13,1440,0,1440,2.27373675443232E-13,1440,0,1440,0,-9.09494701772928E-13,0,0,-3.84421839090721E-14,4.54747350886464E-13,0,1440,1440,1440,-1.70530256582424E-13,0,0,1440,-5.6843418860808E-14,2.27373675443232E-13,-2.27373675443232E-13,1440,-2.27373675443232E-13,1440,1440,-4.54747350886464E-13,1440,1440
0,-4.54747350886464E-13,1440,0,1440,-1.70530256582424E-13,-1.70530256582424E-13,1440,2.8421709430404E-13,1440,0,1440,-3.97903932025656E-13,0,0,0,-1.70530256582424E-13,0,0,0,-4.54747350886464E-13,2.27373675443232E-13,-3.97903932025656E-13,-2.27373675443232E-13,0,2.8421709430404E-13,0,0,1440,0,1440,0,-2.27373675443232E-13,1440,-5.6843418860808E-14,1440,0,1440,5.6843418860808E-14,1440,0,1440,0,1440,9.09494701772928E-13,-1.13686837721616E-13,2.27373675443232E-13,0,0,1.13686837721616E-13,0,1.50489307625088E-13,2.27373675443232E-13,4.54747350886464E-13,-4.54747350886464E-13,1440,-1.13686837721616E-13,1440,0,1440,-3.41060513164848E-13,0,1440,1440,-2.27373675443232E-13,-9.09494701772928E-13,-4.54747350886464E-13,0,0,-7.68843678181442E-14,-4.54747350886464E-13,-3.84421839090721E-14,0,0,1.13686837721616E-13,4.54747350886464E-13,0,4.54747350886464E-13,0,0,-4.54747350886464E-13,1440,-4.54747350886464E-13,1440,0,1440,-4.54747350886464E-13,1440,0,1440,0,1440,0,0,1440,-3.84421839090721E-14,1440,1440,1440,1440,1440,0,0,0,0,2.27373675443232E-13,-9.09494701772928E-13,-1.13686837721616E-13,0,0,6.25277607468888E-13,0,-1.13686837721616E-13,-6.25277607468888E-13,0,1440,-5.6843418860808E-14,1440,1.13686837721616E-13,-1.36424205265939E-12,-4.54747350886464E-13,0,5.6843418860808E-14,-5.6843418860808E-14,0,-3.41060513164848E-13,-4.54747350886464E-13,1440,0,1440,2.27373675443232E-13,1440,0,1440,0,-9.09494701772928E-13,0,0,-3.84421839090721E-14,4.54747350886464E-13,0,1440,1440,1440,-1.70530256582424E-13,0,0,1440,-5.6843418860808E-14,2.27373675443232E-13,-2.27373675443232E-13,1440,-2.27373675443232E-13,1440,1440,-4.54747350886464E-13,1440,1440
0,-4.54747350886464E-13,1440,0,1440,-1.70530256582424E-13,-1.70530256582424E-13,1440,2.8421709430404E-13,1440,0,1440,-3.97903932025656E-13,0,0,0,-1.70530256582424E-13,0,0,0,-4.54747350886464E-13,2.27373675443232E-13,-3.97903932025656E-13,-2.27373675443232E-13,0,2.8421709430404E-13,0,0,1440,0,1440,0,-2.27373675443232E-13,1440,-5.6843418860808E-14,1440,0,1440,5.6843418860808E-14,1440,0,1440,0,1440,9.09494701772928E-13,-1.13686837721616E-13,2.27373675443232E-13,0,0,1.13686837721616E-13,0,1.50489307625088E-13,2.27373675443232E-13,4.54747350886464E-13,-4.54747350886464E-13,1440,-1.13686837721616E-13,1440,0,1440,-3.41060513164848E-13,0,1440,1440,-2.27373675443232E-13,-9.09494701772928E-13,-4.54747350886464E-13,0,0,-7.68843678181442E-14,-4.54747350886464E-13,-3.84421839090721E-14,0,0,1.13686837721616E-13,4.54747350886464E-13,0,4.54747350886464E-13,0,0,-4.54747350886464E-13,1440,-4.54747350886464E-13,1440,0,1440,-4.54747350886464E-13,1440,0,1440,0,1440,0,0,1440,-3.84421839090721E-14,1440,1440,1440,1440,1440,0,0,0,0,2.27373675443232E-13,-9.09494701772928E-13,-1.13686837721616E-13,0,0,6.25277607468888E-13,0,-1.13686837721616E-13,-6.25277607468888E-13,0,1440,-5.6843418860808E-14,1440,1.13686837721616E-13,-1.36424205265939E-12,-4.54747350886464E-13,0,5.6843418860808E-14,-5.6843418860808E-14,0,-3.41060513164848E-13,-4.54747350886464E-13,1440,0,1440,2.27373675443232E-13,1440,0,1440,0,-9.09494701772928E-13,0,0,-3.84421839090721E-14,4.54747350886464E-13,0,1440,1440,1440,-1.70530256582424E-13,0,0,1440,-5.6843418860808E-14,2.27373675443232E-13,-2.27373675443232E-13,1440,-2.27373675443232E-13,1440,1440,-4.54747350886464E-13,1440,1440
0,-4.54747350886464E-13,1440,0,1440,-1.70530256582424E-13,-1.70530256582424E-13,1440,2.8421709430404E-13,1440,0,1440,-3.97903932025656E-13,0,0,0,-1.70530256582424E-13,0,0,0,-4.54747350886464E-13,2.27373675443232E-13,-3.97903932025656E-13,-2.27373675443232E-13,0,2.8421709430404E-13,0,0,1440,0,1440,0,-2.27373675443232E-13,1440,-5.6843418860808E-14,1440,0,1440,5.6843418860808E-14,1440,0,1440,0,1440,9.09494701772928E-13,-1.13686837721616E-13,2.27373675443232E-13,0,0,1.13686837721616E-13,0,1.50489307625088E-13,2.27373675443232E-13,4.54747350886464E-13,-4.54747350886464E-13,1440,-1.13686837721616E-13,1440,0,1440,-3.41060513164848E-13,0,1440,1440,-2.27373675443232E-13,-9.09494701772928E-13,-4.54747350886464E-13,0,0,-7.68843678181442E-14,-4.54747350886464E-13,-3.84421839090721E-14,0,0,1.13686837721616E-13,4.54747350886464E-13,0,4.54747350886464E-13,0,0,-4.54747350886464E-13,1440,-4.54747350886464E-13,1440,0,1440,-4.54747350886464E-13,1440,0,1440,0,1440,0,0,1440,-3.84421839090721E-14,1440,1440,1440,1440,1440,0,0,0,0,2.27373675443232E-13,-9.09494701772928E-13,-1.13686837721616E-13,0,0,6.25277607468888E-13,0,-1.13686837721616E-13,-6.25277607468888E-13,0,1440,-5.6843418860808E-14,1440,1.13686837721616E-13,-1.36424205265939E-12,-4.54747350886464E-13,0,5.6843418860808E-14,-5.6843418860808E-14,0,-3.41060513164848E-13,-4.54747350886464E-13,1440,0,1440,2.27373675443232E-13,1440,0,1440,0,-9.09494701772928E-13,0,0,-3.84421839090721E-14,4.54747350886464E-13,0,1440,1440,1440,-1.70530256582424E-13,0,0,1440,-5.6843418860808E-14,2.27373675443232E-13,-2.27373675443232E-13,1440,-2.27373675443232E-13,1440,1440,-4.54747350886464E-13,1440,1440
0,-4.54747350886464E-13,1440,0,1440,-2.27373675443232E-13,-2.27373675443232E-13,1440,2.27373675443232E-13,1440,0,1440,-3.97903932025656E-13,0,0,0,-2.27373675443232E-13,0,0,0,-4.54747350886464E-13,2.27373675443232E-13,-3.97903932025656E-13,-2.27373675443232E-13,0,2.27373675443232E-13,0,0,1440,0,1440,0,-2.27373675443232E-13,1440,-5.6843418860808E-14,1440,0,1440,5.6843418860808E-14,1440,0,1440,0,1440,9.09494701772928E-13,-1.13686837721616E-13,2.27373675443232E-13,0,0,1.13686837721616E-13,0,1.50489307625088E-13,2.27373675443232E-13,4.54747350886464E-13,-4.54747350886464E-13,1440,-1.13686837721616E-13,1440,0,1440,-3.41060513164848E-13,0,1440,1440,-2.27373675443232E-13,-9.09494701772928E-13,-4.54747350886464E-13,0,0,-7.68843678181442E-14,-4.54747350886464E-13,-3.84421839090721E-14,0,0,1.13686837721616E-13,4.54747350886464E-13,0,4.54747350886464E-13,0,0,-4.54747350886464E-13,1440,-4.54747350886464E-13,1440,0,1440,-4.54747350886464E-13,1440,0,1440,0,1440,0,0,1440,-3.84421839090721E-14,1440,1440,1440,1440,1440,0,0,0,0,2.27373675443232E-13,-9.09494701772928E-13,-1.13686837721616E-13,0,0,6.25277607468888E-13,0,-1.13686837721616E-13,-6.25277607468888E-13,0,1440,-5.6843418860808E-14,1440,1.13686837721616E-13,-1.36424205265939E-12,-4.54747350886464E-13,0,5.6843418860808E-14,-5.6843418860808E-14,0,-3.41060513164848E-13,-4.54747350886464E-13,1440,0,1440,2.27373675443232E-13,1440,0,1440,0,-9.09494701772928E-13,0,0,-3.84421839090721E-14,4.54747350886464E-13,0,1440,1440,1440,-2.27373675443232E-13,0,0,1440,-5.6843418860808E-14,2.27373675443232E-13,-2.27373675443232E-13,1440,-2.27373675443232E-13,1440,1440,-4.54747350886464E-13,1440,1440
2.27373675443232E-13,2.27373675443232E-13,1440,0,1440,2.27373675443232E-13,2.27373675443232E-13,1440,0,1440,0,1440,2.27373675443232E-13,0,1.13686837721616E-13,0,2.27373675443232E-13,0,0,0,2.27373675443232E-13,0,2.27373675443232E-13,2.27373675443232E-13,2.27373675443232E-13,0,0,0,1440,0,1440,0,2.27373675443232E-13,1440,0,1440,4.54747350886464E-13,1440,2.27373675443232E-13,1440,0,1440,0,1440,2.27373675443232E-13,2.27373675443232E-13,2.27373675443232E-13,0,0,2.27373675443232E-13,0,4.54747350886464E-13,0,2.27373675443232E-13,0,1440,0,1440,0,1440,2.27373675443232E-13,4.54747350886464E-13,1440,1440,0,0,0,0,0,-2.27373675443232E-13,0,-1.13686837721616E-13,0,-1.13686837721616E-13,2.8421709430404E-13,4.54747350886464E-13,0,2.27373675443232E-13,0,0,0,1440,0,1440,0,1440,-2.27373675443232E-13,1440,0,1440,0,1440,0,0,1440,-1.13686837721616E-13,1440,1440,1440,1440,1440,0,0,0,0,0,2.27373675443232E-13,2.27373675443232E-13,0,0,2.27373675443232E-13,0,0,2.27373675443232E-13,0,1440,2.27373675443232E-13,1440,-2.27373675443232E-13,0,0,0,2.27373675443232E-13,2.27373675443232E-13,-2.27373675443232E-13,0,0,1440,0,1440,0,1440,0,1440,0,0,0,0,0,2.27373675443232E-13,0,1440,1440,1440,2.27373675443232E-13,0,2.27373675443232E-13,1440,0,4.54747350886464E-13,0,1440,0,1440,1440,0,1440,1440
0,4.54747350886464E-13,1440,0,1440,0,0,1440,-4.54747350886464E-13,1440,0,1440,0,0,0,0,0,0,0,0,4.54747350886464E-13,-4.54747350886464E-13,0,0,0,-4.54747350886464E-13,0,0,1440,0,1440,0,0,1440,0,1440,-4.54747350886464E-13,1440,-4.54747350886464E-13,1440,-4.54747350886464E-13,1440,0,1440,0,0,0,0,0,1.13686837721616E-13,0,0,0,0,0,1440,0,1440,0,1440,-1.13686837721616E-13,-4.54747350886464E-13,1440,1440,0,0,0,0,0,3.41060513164848E-13,-1.13686837721616E-13,-3.41060513164848E-13,0,2.27373675443232E-13,-1.13686837721616E-13,0,0,9.09494701772928E-13,0,0,0,1440,0,1440,0,1440,0,1440,0,1440,0,1440,0,1.13686837721616E-13,1440,4.54747350886464E-13,1440,1440,1440,1440,1440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440,0,1440,-1.13686837721616E-13,0,0,0,-4.54747350886464E-13,0,-1.13686837721616E-13,0,0,1440,0,1440,1.13686837721616E-13,1440,0,1440,0,0,1.13686837721616E-13,0,1.13686837721616E-13,9.09494701772928E-13,9.09494701772928E-13,1440,1440,1440,0,0,0,1440,0,0,0,1440,0,1440,1440,0,1440,1440
0,0,1440,0,1440,0,0,1440,0,1440,0,1440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440,0,1440,0,0,1440,0,1440,0,1440,0,1440,0,1440,0,1440,0,0,0,0,0,0,0,0,0,0,0,1440,0,1440,0,1440,0,0,1440,1440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440,0,1440,0,1440,0,1440,0,1440,0,1440,0,0,1440,0,1440,1440,1440,1440,1440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440,0,1440,0,0,0,0,0,0,0,0,0,1440,0,1440,0,1440,0,1440,0,0,0,0,0,0,0,1440,1440,1440,0,0,0,1440,0,0,0,1440,0,1440,1440,0,1440,1440
0,0,1440,0,1440,0,0,1440,0,1440,0,1440,3.24819536347474E-14,0,0,0,3.24819536347474E-14,0,0,0,0,0,3.24819536347474E-14,3.24819536347474E-14,0,0,0,0,1440,0,1440,0,0,1440,0,1440,0,1440,0,1440,0,1440,0,1440,3.24819536347474E-14,0,0,0,0,0,0,0,0,-4.87229304521212E-14,0,1440,4.87229304521212E-14,1440,0,1440,4.87229304521212E-14,0,1440,1440,4.87229304521212E-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440,0,1440,0,1440,0,1440,0,1440,0,1440,0,0,1440,0,1440,1440,1440,1440,1440,0,0,0,0,0,0,4.87229304521212E-14,0,0,0,0,0,3.24819536347474E-14,0,1440,0,1440,-4.87229304521212E-14,0,0,0,0,0,0,0,0,1440,0,1440,0,1440,0,1440,0,0,0,0,0,0,0,1440,1440,1440,0,0,0,1440,0,0,0,1440,0,1440,1440,0,1440,1440
2.27373675443232E-13,0,1440,0,1440,2.27373675443232E-13,1.51582450295488E-13,1440,0,1440,0,1440,1.51582450295488E-13,0,7.5791225147744E-14,0,1.51582450295488E-13,0,0,0,0,0,-2.27373675443232E-13,1.51582450295488E-13,0,2.27373675443232E-13,-2.27373675443232E-13,0,1440,0,1440,0,2.27373675443232E-13,1440,0,1440,0,1440,-2.27373675443232E-13,1440,-3.95432479031708E-13,1440,0,1440,-4.54747350886464E-13,2.27373675443232E-13,-1.13686837721616E-13,0,0,6.42577778426525E-14,-2.27373675443232E-13,2.37259487419025E-13,-3.46003419152744E-13,-2.27373675443232E-13,4.54747350886464E-13,1440,2.27373675443232E-13,1440,0,1440,2.27373675443232E-13,2.81745641310092E-13,1440,1440,6.82121026329696E-13,4.54747350886464E-13,4.54747350886464E-13,0,0,4.54747350886464E-13,4.54747350886464E-13,0,0,0,6.42577778426525E-14,-2.27373675443232E-13,0,0,0,0,4.54747350886464E-13,1440,4.54747350886464E-13,1440,0,1440,6.82121026329696E-13,1440,0,1440,0,1440,0,0,1440,0,1440,1440,1440,1440,1440,0,0,0,0,0,4.54747350886464E-13,2.27373675443232E-13,0,0,-1.51582450295488E-13,0,0,1.51582450295488E-13,0,1440,2.27373675443232E-13,1440,0,1.36424205265939E-12,4.54747350886464E-13,0,-1.13686837721616E-13,3.95432479031708E-13,2.17487863467439E-13,0,4.54747350886464E-13,1440,0,1440,0,1440,0,1440,0,9.09494701772928E-13,0,0,0,2.27373675443232E-13,0,1440,1440,1440,2.27373675443232E-13,0,1.51582450295488E-13,1440,-1.13686837721616E-13,1.28515555685305E-13,2.17487863467439E-13,1440,0,1440,1440,6.82121026329696E-13,1440,1440
2.27373675443232E-13,0,1440,0,1440,2.27373675443232E-13,1.51582450295488E-13,1440,0,1440,0,1440,1.51582450295488E-13,0,7.5791225147744E-14,0,1.51582450295488E-13,0,0,0,0,0,-2.27373675443232E-13,1.51582450295488E-13,0,2.27373675443232E-13,-2.27373675443232E-13,0,1440,0,1440,0,2.27373675443232E-13,1440,0,1440,0,1440,-2.27373675443232E-13,1440,-3.95432479031708E-13,1440,0,1440,-4.54747350886464E-13,2.27373675443232E-13,-1.13686837721616E-13,0,0,6.42577778426525E-14,-2.27373675443232E-13,2.37259487419025E-13,-3.46003419152744E-13,-2.27373675443232E-13,4.54747350886464E-13,1440,2.27373675443232E-13,1440,0,1440,2.27373675443232E-13,2.81745641310092E-13,1440,1440,6.82121026329696E-13,4.54747350886464E-13,4.54747350886464E-13,0,0,4.54747350886464E-13,4.54747350886464E-13,0,0,0,6.42577778426525E-14,-2.27373675443232E-13,0,0,0,0,4.54747350886464E-13,1440,4.54747350886464E-13,1440,0,1440,6.82121026329696E-13,1440,0,1440,0,1440,0,0,1440,0,1440,1440,1440,1440,1440,0,0,0,0,0,4.54747350886464E-13,2.27373675443232E-13,0,0,-1.51582450295488E-13,0,0,1.51582450295488E-13,0,1440,2.27373675443232E-13,1440,0,1.36424205265939E-12,4.54747350886464E-13,0,-1.13686837721616E-13,3.95432479031708E-13,2.17487863467439E-13,0,4.54747350886464E-13,1440,0,1440,0,1440,0,1440,0,9.09494701772928E-13,0,0,0,2.27373675443232E-13,0,1440,1440,1440,2.27373675443232E-13,0,1.51582450295488E-13,1440,-1.13686837721616E-13,1.28515555685305E-13,2.17487863467439E-13,1440,0,1440,1440,6.82121026329696E-13,1440,1440
0,0,1080,0,1080,0,360.000000000001,1080,0,1080,0,1080,205.714285714288,154.285714285712,0,0,360.000000000001,0,0,0,0,0,205.714285714288,360.000000000001,0,360.000000000001,0,0,719.999999999999,0,1080,205.714285714289,360.000000000001,754.285714285712,0,994.285714285712,445.714285714288,874.285714285711,325.714285714287,805.714285714283,445.714285714286,805.714285714284,0,719.999999999999,582.857142857143,205.714285714289,428.571428571428,0,0,34.2857142857148,0,0,154.285714285715,0,205.714285714289,1234.28571428571,205.714285714289,994.285714285712,0,874.285714285714,205.714285714289,445.714285714288,960,1028.57142857143,411.42857142857,325.714285714285,240,0,0,240,240,0,0,0,34.2857142857148,154.285714285716,0,0,0,0,240,960.000000000001,240,1440,0,1440,0,1200,0,1440,0,1440,0,0,1440,0,1440,1080,1080,1028.57142857142,719.999999999999,360.000000000001,0,0,0,154.285714285713,411.428571428575,205.714285714289,0,0,428.571428571429,0,514.285714285713,51.4285714285747,0,1200,120.000000000001,788.571428571427,0,719.999999999999,240,0,325.714285714287,120.000000000001,445.714285714285,85.7142857142853,240,480.000000000002,0,1200,0,960,0,959.999999999999,0,479.999999999999,0,0,0,445.714285714286,0,1200,994.285714285714,1234.28571428571,360.000000000001,0,360.000000000001,874.285714285714,240,68.5714285714306,411.42857142857,994.285714285712,0,960.000000000001,1440,325.714285714285,908.571428571427,1080
0,0,1440,0,1440,0,0,1440,0,1440,0,1440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440,0,1440,0,0,1440,0,1440,0,1440,2.27373675443232E-13,1440,1.8947806286936E-13,1440,0,1440,2.27373675443232E-13,0,0,0,0,0,-1.51582450295488E-13,0,0,0,0,1440,0,1440,0,1440,0,0,1440,1440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440,0,1440,0,1440,0,1440,0,1440,0,1440,0,0,1440,0,1440,1440,1440,1440,1440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440,-1.13686837721616E-13,1440,0,0,0,0,-7.5791225147744E-14,7.5791225147744E-14,0,0,0,1440,0,1440,0,1440,0,1440,0,0,0,0,0,0,0,1440,1440,1440,0,0,0,1440,1.13686837721616E-13,0,0,1440,0,1440,1440,0,1440,1440
0,0,1440,0,1440,0,0,1440,0,1440,0,1440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440,0,1440,0,0,1440,0,1440,0,1440,0,1440,2.27373675443232E-13,1440,0,1440,2.27373675443232E-13,0,0,0,0,0,-2.27373675443232E-13,0,0,0,0,1440,0,1440,0,1440,0,0,1440,1440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440,0,1440,0,1440,0,1440,0,1440,0,1440,0,0,1440,0,1440,1440,1440,1440,1440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440,0,1440,0,0,0,0,-1.13686837721616E-13,1.13686837721616E-13,0,0,0,1440,0,1440,0,1440,0,1440,0,0,0,0,0,0,0,1440,1440,1440,0,0,0,1440,0,0,0,1440,0,1440,1440,0,1440,1440
0,0,1440,0,1440,0,0,1440,0,1440,0,1440,0,-2.27373675443232E-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440,0,1440,2.27373675443232E-13,0,1440,0,1440,4.54747350886464E-13,1440,3.41060513164848E-13,1440,4.54747350886464E-13,1440,0,1440,4.54747350886464E-13,0,0,0,0,0,0,2.65269288017104E-14,6.06329801181952E-14,0,2.27373675443232E-13,1440,2.27373675443232E-13,1440,0,1440,1.02318153949454E-13,0,1440,1440,2.27373675443232E-13,1.13686837721616E-13,0,0,0,0,-2.27373675443232E-13,0,0,0,0,2.27373675443232E-13,0,0,0,0,-2.27373675443232E-13,1440,0,1440,0,1440,0,1440,0,1440,0,1440,0,0,1440,0,1440,1440,1440,1440,1440,0,0,0,0,0,0,2.27373675443232E-13,0,0,2.27373675443232E-13,0,0,0,0,1440,0,1440,0,-1.25055521493778E-13,0,0,7.95807864051312E-14,-1.02318153949454E-13,1.81898940354586E-13,1.13686837721616E-13,0,1440,0,1440,0,1440,0,1440,0,0,0,0,0,2.27373675443232E-13,0,1440,1440,1440,0,0,0,1440,1.13686837721616E-13,0,2.00846746641522E-13,1440,0,1440,1440,-2.65269288017104E-14,1440,1440
